"season","date","visitor","visitor.score","loc","host","host.score","ot","tournament","conference"
1999,"1998-10-03","Notre Dame",2,"@","Wisconsin",1,"","","NC"
1999,"1998-10-09","Bowling Green",4,"@","Miami",2,"","","CC"
1999,"1998-10-09","Lake Superior",2,"@","Notre Dame",4,"","","CC"
1999,"1998-10-09","Ferris State",3,"@","Western Michigan",1,"","","CC"
1999,"1998-10-09","Northern Michigan",8,"@","Michigan Tech",2,"","","NC"
1999,"1998-10-09","St. Lawrence",6,"@","Minnesota",4,"","","NC"
1999,"1998-10-10","Bowling Green",5,"@","Miami",5,"OT","","CC"
1999,"1998-10-10","Western Michigan",1,"@","Notre Dame",7,"","","CC"
1999,"1998-10-10","Michigan Tech",0,"@","Northern Michigan",3,"","","NC"
1999,"1998-10-10","Mankato State",4,"@","Alaska-Anchorage",3,"","","NC"
1999,"1998-10-10","Ohio State",3,"@","Minnesota",4,"","","NC"
1999,"1998-10-11","Lake Superior",0,"@","Michigan",2,"","","CC"
1999,"1998-10-11","Mankato State",5,"@","Alaska-Anchorage",2,"","","NC"
1999,"1998-10-16","Notre Dame",5,"@","Ferris State",3,"","","CC"
1999,"1998-10-16","Ohio State",4,"@","Lake Superior",1,"","","CC"
1999,"1998-10-16","Western Michigan",1,"@","Michigan State",1,"OT","","CC"
1999,"1998-10-16","Miami",2,"@","Northern Michigan",3,"","","CC"
1999,"1998-10-16","Minnesota-Duluth",2,"@","Minnesota",2,"OT","","WC"
1999,"1998-10-16","Michigan Tech",2,"@","Wisconsin",1,"","","WC"
1999,"1998-10-16","Northeastern",4,"@","Bowling Green",2,"","","NC"
1999,"1998-10-16","Bentley",2,"@","Canisius",6,"","","NC"
1999,"1998-10-16","Alaska-Anchorage",4,"@","Alaska",5,"OT","","NC"
1999,"1998-10-16","Niagara",5,"@","Michigan",6,"OT","","NC"
1999,"1998-10-16","Maine",7,"@","Nebraska-Omaha",2,"","","NC"
1999,"1998-10-17","Ohio State",2,"@","Ferris State",4,"","","CC"
1999,"1998-10-17","Notre Dame",4,"@","Lake Superior",3,"","","CC"
1999,"1998-10-17","Miami",2,"@","Northern Michigan",5,"","","CC"
1999,"1998-10-17","Minnesota-Duluth",1,"@","Minnesota",3,"","","WC"
1999,"1998-10-17","Michigan Tech",2,"@","Wisconsin",3,"","","WC"
1999,"1998-10-17","Northeastern",3,"@","Bowling Green",5,"","","NC"
1999,"1998-10-17","Bentley",4,"@","Canisius",5,"","","NC"
1999,"1998-10-17","Massachusetts",1,"@","Michigan State",3,"","","NC"
1999,"1998-10-17","Boston University",3,"@","Rensselaer",4,"OT","","NC"
1999,"1998-10-17","Alaska",1,"@","Alaska-Anchorage",3,"","","NC"
1999,"1998-10-17","Niagara",2,"@","Michigan",1,"","","NC"
1999,"1998-10-17","Maine",3,"@","Nebraska-Omaha",0,"","","NC"
1999,"1998-10-17","New Hampshire",4,"@","Vermont",3,"","","NC"
1999,"1998-10-22","Massachusetts-Lowell",4,"@","Massachusetts",3,"OT","","HE"
1999,"1998-10-23","Michigan State",7,"@","Bowling Green",1,"","","CC"
1999,"1998-10-23","Ohio State",0,"@","Notre Dame",3,"","","CC"
1999,"1998-10-23","Michigan",6,"@","Alaska",1,"","","CC"
1999,"1998-10-23","Colorado College",3,"@","Michigan Tech",1,"","","WC"
1999,"1998-10-23","St. Cloud State",0,"@","Minnesota",3,"","","WC"
1999,"1998-10-23","Holy Cross",5,"@","Air Force",5,"OT","","NC"
1999,"1998-10-23","Alabama-Huntsville",3,"@","Army",2,"OT","","NC"
1999,"1998-10-23","Northern Michigan",6,"@","Clarkson",5,"","","NC"
1999,"1998-10-23","Nebraska-Omaha",1,"@","Denver",4,"","","NC"
1999,"1998-10-23","Canisius",3,"@","Mankato State",11,"","","NC"
1999,"1998-10-23","St. Lawrence",4,"@","Merrimack",1,"","","NC"
1999,"1998-10-23","Colgate",0,"@","Northeastern",2,"","","NC"
1999,"1998-10-23","Miami",5,"@","Providence",3,"","","NC"
1999,"1998-10-23","Lake Superior",2,"@","New Hampshire",5,"","","NC"
1999,"1998-10-24","Ferris State",1,"@","Bowling Green",2,"","","CC"
1999,"1998-10-24","Ohio State",4,"@","Michigan State",4,"OT","","CC"
1999,"1998-10-24","Michigan",2,"@","Alaska",1,"","","CC"
